2 . take around 10,000 640x480 pictures .	1
i downloaded a trial version of computer associates ez firewall and antivirus and fell in love with a computer security system all over again .	1
the wrt54g plus the hga7t is a perfect solution if you need wireless coverage in a wider area or for a hard-walled house as was my case .	1
i dont especially like how music files are unstructured ; basically they are just dumped into one folder with no organization , like you might have in windows explorer folders and subfolders .	0
i was using the cheapie pail ... and it worked ok until the opening device fell apart .	1
you can manage your profile , change the contrast of backlight , make different type of display , either list or tabbed . 	1
11 ) minimal pause between songs - less than that on other devices - good achievement for a hard-drive based player 	1
from the internet , woodworking books , local stores and personal opinions the hitachi m12v 3-1 / 4 hp router time and time again came up to be the router of choice or best for its price .	1
i loved this product when i first got it - great sound , easy to use ( even though i agree that the software was n't the best ) and held enough songs to suit any mood . 	1
whether you are using disposable or cloth diapers , this is the truly the only diaper pail to get !	1
takes excellent photos . 	1
it 's easy enough to pop it open to see what song you 're listening to . 	1
it has a 3x optical zoom , which is average for these cameras . 	0
i love this phone .	1
i tried to call norton , and the only numbers they list on their sites are either for non-tech customer service ( tried this one and hung up after 75 minute of muzac ) or they have a $ 30 tech-support number .	0
i replaced it with a router raizer and it works much better .	0
it 's being used daily and i have had none of the problems reported by other reviewers ( headphone jack , player locking up , etc ) .	1
the software has been installed on windows 95 , 98 , 2000 and xp and i haven 't had any problems with it .	1
another thing i like about this camera is the way that you can swap colors around and the impressive video quality i would advise any person in the market for a camera to pay the little extra on the hefty $ 500 price tag and get a quality camera .	1
it looks very cool , and seems quite small to me and very light . 	1
one little minor flaw with this camera is that the lens is visible in the viewfinder , but does not detract from the image at all . 	0
i 've had this thing just over a month and the headphone jack has already come loose . 	0
do n't buy this player . 	0
size - bigger than the ipod 	0
the creative mediasource software that comes with the zen micro is cluttered , and excludes my favorite feature in itunes , the ability to automatically copy everything you import into a certain folder .	0
considering the price and specs , this might be the best buy out there for a large memory mp3 player . 	1
the grain was terrible . 	0
another problem i had with this camera was the zoom function .	0
bottom line : if you value excellent sound quality and the ability to use music subscription services , and are willing to deal with the possibility ( not the certainty ) of setup gremlins , by all means get the zen micro .	1
this camera is great , wonderfully small , and has attactive hi-tech casing .	1
i know the saying is " you get what you pay for " but at this stage of game dvd players must have better quality than this - there is no excuse . 	0
as i mentioned before , the creative mediasource software is actually really robust despite what others have said , though notmad may still work better . 	1
it has a clear blue light that allows you to see everything on the screen easily . 	1
the fact that you can assign ringtones to people and / or groups is really cool .	1
avoid this product at all costs .	0
2 ) the player user interface ( ui ) is intuitive to use , and allows easy navigation of a large or small collection . 	1
awesome camera with huge print quality in a tiny package . 	1
nokia and t-mobile really teamed up well on this baby . 	1
smooth plunging ! ( it did stick a bit so i sprayed it w / lubricant .	1
-- > does not recognize player at random times , despite being connected and displaying player 's library . 	0
the height adjustment knob is a bit flimsy , but it works well and provides good accuracy .	1
the customer support is pathetic .	0
mine is as easy to use as the mini without any firmware download .	1
right out of the box , i loved it , better features than the ipod , great sound quality and no limitations on what music sources i can use .	1
i was having intermittent problems with it losing connection .	0
it works with a minimum of fuss .	1
there were many times when i clicked the automatic shutter and nothing happens .	0
the prints are beautiful ! 	1
finding all the albums , songs etc is much easier than you would think it would be even if you have 20 gig ( well 18 gig ) worth of music .	1
what makes the focus-lock lag time something i can live with is the extreme depth of field obtainable with these point and shoot digicams at f8 . 	1
however , the calls constantly drop in my area and i experince mega-static , to the point where i 'd have to dial numbers 6-7 times to get a clear line . 	0
just want a wireless router for home or your very small business , you can just get a wrt54g from here and configure it .	1
what i really like about- its quite , it can handle my workload and it was so cheap that i can throw it away and buy another one without blinking .	1
i just received my 40gb zen xtra yesterday and i 'm extremely pleased with it . 	1
it makes the nomad i purchase feel and look like junk .	1
i have had the phone for 1 week , the signal quality has been great in the detroit area ( suburbs ) and in my recent road trip between detroit and northern kentucky ( cincinnati ) i experienced perfect signal and reception along i-75 , far superior to at &#38; t 's which does not work along several long stretches on that same route . 	1
the screen is large and bright and has all the info i need where i need it . 	1
sometimes a suite is not a good deal and all you get is a bundle of headaches .	0
whatever ... on to the negatives : -touchy about charging ... you can damage the battery and seriously decrease it 's life if you don 't upgrade the firmware or dont ' heed the advice to always plug in the player side of the cord before plugging in the outlet side .	0
it has a classic design yet looks hip . 	1
sound : this is where i love zen the most .	1
i 'm not gonna go into the features cause if you 're reading this review , you 've probably already looked at them , but i must say the dj feature if very cool and the removable battery is also a bonus !	1
like it 's predecessor , the quickly revised nx , this player boasts a decent size and weight , a relatively-intuitive navigational system that categorizes based on id3 tags , and excellent sound ( widely known to be better than ipod - not surprising considering the number of years creative has been in the audio peripheral business ) . 	1
canon have packed a lot in here and the options and controls are easy to use and logically laid out . 	1
seems to work great .	1
very simple and painless .	1
2 ) scroll button / switch 	0
the collet for the 1 / 4 inch bits is a pain to get in and even harder to get out .	0
( batteries last longer too ! ) 	1
you do not have to waste money or time trying to purchase special bags for the champ .	1
another reason i got it is because you can put wma files on it . 	1
the photos in the address book are terribly scaled too ; they look as though they were built out of legos .	0
i am just in love with this phone , especially after using a more primitve phone about 3 years .	1
the instruction manuals and documentation are excellent so that the learning curve will be much less steep .	1
i also like the lock feature , so it makes the touch pad inactive .	1
no smell , easy to use with one hand free , and best of all it uses regular tall kitchen garbage bags so you don 't get suckered in to using only the bags made for the pail that are imposible to find !	1
get it , it 's woth every penny ! ! 	1
e ) the case is too small -- it took me like a half hour just to get this monstrosity to fit in its cage 	0
essentially , the cd included with the package is , for the most part , worthless .	0
recent price drops have made the g3 the best bargain in digital cameras currently available . 	1
from day one , we 've had hangups , crashes , glitches , continual reboots , long shutdowns due to " ccapp.exe " program running which is a norton program .	0
the strap is horrible and gets in the way of parts of the camera you need access to . 	0
you can use the player to store your computer data files ( good feature to have ) .	1
in noisy environment , it 's hard to hear from the earpiece .	0
the player hangs up on file transfer every once-in-a-while , prompting a reset . 	0
nice machines , but i consider their quality pretty low now . 	0
you of course have some good customization options with the unit as well ( sound presets , navigating options , playlists , etc ) . 	1
the only complaint i have is that the 1 / 4 " collet will not sufficiently hold any of my 1 / 4 " bits .	0
rather than creating a directory for bookmarks to be found in one area , the user must actually find the track where the bookmark was made . . 	0
the canon g3 is perhaps the best 4mp camera out there . 	1
the interface is simple to use .	1
interface - practically seamless . 	1
most of them are already switched to apex and they are happy . 	1
this phone doesn 't include phone card calling .	0
friends told me that the diaper genie did not work very well , so bought the diaper champ based on on-line reviews and i have been happy with it .	1
this is ridiculous . 	0
have had the player since xmass and love it ! 	1
this product has virtually all the same installation problems .	0
playlists can be generated on the fly ( which is a bit clunky but still a really nice bonus ) or by using the software , and there are a bevy of eq options . 	1
4 mp gives you room for the future gaining experience ; cost offsets over time from wanting more in a camera , 3x optical and the fact that it carries nikon 's quality reputation behind it make the whole package prove itself worthwile at the price . 	1
after multilple tries , one of the disks was finally recognized but video was poor and features not available . 	0
my friend has an ipod , and although the sound quality probably won 't meet most audiophile standards , the product itself is better than anything creative has made .	0
many of our disney movies do n't play on this dvd player . 	0
typically , the problem is the headphone jack -- it was for me and many others . 	0
also , i can 't understand why the software does not ignore " the " when it lists the cds in alphabetical order . 	0
transfers are surprisingly quick through usb 2.0 . 	1
easy to use : a lot of reviews has mentioned about this 	1
they claim to respond in a 24 hour period yet it 's been 2 weeks without a reply . 	0
at first i had a problem with some smell , then i realized if you flip the lid back and always keep the same side facing in - then there is no smell at all !	1
if you don 't mind all the buttons being touch sensitive , i 'd recomment buying it to try out , and also buy an extra 2 year warrenty for it ( there are some offered here , for about $ 15 dollors i think ) .	1
it can not be the computer or the owner , since i purchased mcafee anti-virus 8 and it installs and works fine with no problems .	1
it 's faster than wmp .	1
however since this router is backward compatible , that doesn 't pose a problem at all .	1
for my first i had a diaper genie which was not only costly with the refills but it was also very stinky .	0
after a recent update , i can no longer open more then 1 browser window .	0
the great and versatile ipod i love my ipod !	1
the scroll wheel is better than the ipod 's as well , in that you do n't risk giving yourself a cramp running your thumb around in circles endlessly - just a small nudge of the finger and you 're there . 	1
among my requirments for a phone were : good screen , decent camera , bluetooth , and gprs support .	1
diaper champ is by far the best diaper pail !	1
it 's far better than all others on the market .	1
because of this , i am disappointed and would not recommend this product . 	0
i never had a single problem .	1
its really cool . 	1
even with these shortcomings , i still think it is the best digital camera available under $ 1200 . 	1
i am very pleased with its quality and durability . 	1
i can go pretty far away from my router and still connect wirelessly .	1
it does well in all aspects of internet browsing . 	1
the two-times optical zoom operates smoothly and quietly , and lo and behold , a two-piece shutter-like cap automatically slides closed over the lens when you turn the camera off .	1
this is my second digital camera , but i 'm much more impressed with the canon s100 digital elph than i ever was with my kodak dc240 .	1
this phone is one of the best i 've ever used .	1
eball metaphor : i was hoping creative hit a home run here , and i think the zen micro is more like a stand-up double .	1
hitachi 's m12v is a big beast of a router .	1
it plays original dvds and cds and plays mp3s and jpegs . 	1
it was n't as easy to fast forward or pause a song than it was with a regular walkman . 	0
i loved it until it broke , but less than a month is not an acceptible period of time for something to work . 	0
reviews for sound quality are generally ( but not universally ) positive . 	1
the os is abit confusing at 1st , but within a few days you will pass this learning curve !	0
the speakerphone , the radio , all features work perfectly . 	1
